id,protocol,calculation,units,value
12-0,MV Flow,A'/E',none,1.038462
12-0,MV Flow,E'/A',none,0.962963
12-0,MV Flow,MV E/A,none,2.862745
12-0,MV Flow,MV E/E',none,-30.896177
12-0,SAX M-Mode,EF,%,73.059465
12-0,SAX M-Mode,FS,%,40.425541
12-0,SAX M-Mode,LV Mass AW,mg,183.109754
12-0,SAX M-Mode,LV Mass AW (Corrected),mg,146.487803
12-0,SAX M-Mode,LV Vol;d,uL,27.792188
12-0,SAX M-Mode,LV Vol;s,uL,7.487364
12-a,MV Flow,A'/E',none,0.918367
12-a,MV Flow,E'/A',none,1.088889
12-a,MV Flow,MV E/A,none,1.811567
12-a,MV Flow,MV E/E',none,-21.248744
12-a,SAX M-Mode,EF,%,53.61078
12-a,SAX M-Mode,FS,%,27.093588
12-a,SAX M-Mode,LV Mass AW,mg,153.749021
12-a,SAX M-Mode,LV Mass AW (Corrected),mg,122.999217
12-a,SAX M-Mode,LV Vol;d,uL,58.752753
12-a,SAX M-Mode,LV Vol;s,uL,27.254944
3-0,MV Flow,A'/E',none,1.0
3-0,MV Flow,E'/A',none,1.0
3-0,MV Flow,MV E/A,none,1.723014
3-0,MV Flow,MV E/E',none,-29.890084
3-0,SAX M-Mode,EF,%,63.144535
3-0,SAX M-Mode,FS,%,33.333333
3-0,SAX M-Mode,LV Mass AW,mg,165.943258
3-0,SAX M-Mode,LV Mass AW (Corrected),mg,132.754606
3-0,SAX M-Mode,LV Vol;d,uL,48.374853
3-0,SAX M-Mode,LV Vol;s,uL,17.828777
2-a,MV Flow,A'/E',none,1.128205
2-a,MV Flow,E'/A',none,0.886364
2-a,MV Flow,MV E/A,none,2.994609
2-a,MV Flow,MV E/E',none,-28.48718
2-a,SAX M-Mode,EF,%,83.815117
2-a,SAX M-Mode,FS,%,50.862067
2-a,SAX M-Mode,LV Mass AW,mg,216.881127
2-a,SAX M-Mode,LV Mass AW (Corrected),mg,173.504902
2-a,SAX M-Mode,LV Vol;d,uL,25.814341
2-a,SAX M-Mode,LV Vol;s,uL,4.178021
2-f,MV Flow,A'/E',none,1.266667
2-f,MV Flow,E'/A',none,0.789474
