id,protocol,measurement,mode,parameter,units,avg,std,instance_1,instance_2
12-0,MV Flow,A',PW Tissue Doppler Mode,Velocity,mm/s,-14.43856,0.0,-14.43856,
12-0,MV Flow,E',PW Tissue Doppler Mode,Velocity,mm/s,-13.903799,0.0,-13.903799,
12-0,MV Flow,MV A,PW Doppler Mode,Velocity,mm/s,150.056751,0.0,150.056751,150.056751
12-0,MV Flow,MV E,PW Doppler Mode,Velocity,mm/s,429.574229,0.0,429.574229,429.574229
12-0,SAX M-Mode,LVAW;d,M-Mode,Depth,mm,1.878881,0.02739318,1.898251,1.859511
12-0,SAX M-Mode,LVAW;s,M-Mode,Depth,mm,2.11132,0.08217955,2.16943,2.05321
12-0,SAX M-Mode,LVID;d,M-Mode,Depth,mm,2.731157,0.08217955,2.673047,2.789267
12-0,SAX M-Mode,LVID;s,M-Mode,Depth,mm,1.627072,0.109573,1.704552,1.549593
12-0,SAX M-Mode,LVPW;d,M-Mode,Depth,mm,1.181564,0.191752,1.045975,1.317154
12-0,SAX M-Mode,LVPW;s,M-Mode,Depth,mm,1.491483,0.301325,1.278414,1.704552
12-a,MV Flow,A',PW Tissue Doppler Mode,Velocity,mm/s,-24.064267,0.0,-24.064267,
12-a,MV Flow,E',PW Tissue Doppler Mode,Velocity,mm/s,-26.203313,0.0,-26.203313,
12-a,MV Flow,MV A,PW Doppler Mode,Velocity,mm/s,307.35128,8.109335,301.617115,313.085446
12-a,MV Flow,MV E,PW Doppler Mode,Velocity,mm/s,556.787487,12.164002,565.388736,548.186239
12-a,SAX M-Mode,LVAW;d,M-Mode,Depth,mm,1.171739,0.05178404,1.135122,1.208356
12-a,SAX M-Mode,LVAW;s,M-Mode,Depth,mm,1.611141,0.155352,1.720992,1.501291
12-a,SAX M-Mode,LVID;d,M-Mode,Depth,mm,3.71661,0.07767606,3.771535,3.661684
12-a,SAX M-Mode,LVID;s,M-Mode,Depth,mm,2.709647,0.155352,2.599796,2.819497
12-a,SAX M-Mode,LVPW;d,M-Mode,Depth,mm,0.93373,0.02589202,0.952038,0.915421
12-a,SAX M-Mode,LVPW;s,M-Mode,Depth,mm,1.098505,0.155352,1.208356,0.988655
3-0,MV Flow,A',PW Tissue Doppler Mode,Velocity,mm/s,-13.903799,0.0,-13.903799,
3-0,MV Flow,E',PW Tissue Doppler Mode,Velocity,mm/s,-13.903799,0.0,-13.903799,
3-0,MV Flow,MV A,PW Doppler Mode,Velocity,mm/s,241.196911,45.156326,209.266566,273.127255
3-0,MV Flow,MV E,PW Doppler Mode,Velocity,mm/s,415.585716,0.0,415.585716,415.585716
3-0,SAX M-Mode,LVAW;d,M-Mode,Depth,mm,1.188281,0.129268,1.279688,1.096875
3-0,SAX M-Mode,LVAW;s,M-Mode,Depth,mm,1.691016,0.129268,1.782422,1.599609
3-0,SAX M-Mode,LVID;d,M-Mode,Depth,mm,3.427734,0.06463398,3.382031,3.473438
3-0,SAX M-Mode,LVID;s,M-Mode,Depth,mm,2.285156,0.06463398,2.239453,2.330859
3-0,SAX M-Mode,LVPW;d,M-Mode,Depth,mm,1.211133,0.03231699,1.233984,1.188281
3-0,SAX M-Mode,LVPW;s,M-Mode,Depth,mm,1.485352,0.161585,1.371094,1.599609
2-a,MV Flow,A',PW Tissue Doppler Mode,Velocity,mm/s,-23.529506,0.756267,-24.064267,-22.994744
2-a,MV Flow,E',PW Tissue Doppler Mode,Velocity,mm/s,-20.855698,0.756267,-20.320937,-21.39046
2-a,MV Flow,MV A,PW Doppler Mode,Velocity,mm/s,198.396513,49.157352,163.637016,233.15601
2-a,MV Flow,MV E,PW Doppler Mode,Velocity,mm/s,594.120016,41.594682,564.708134,623.531898
2-a,SAX M-Mode,LVAW;d,M-Mode,Depth,mm,1.508203,0.258536,1.325391,1.691016
2-a,SAX M-Mode,LVAW;s,M-Mode,Depth,mm,1.736719,0.129268,1.828125,1.645312
2-a,SAX M-Mode,LVID;d,M-Mode,Depth,mm,2.650781,0.581706,3.062109,2.239453
2-a,SAX M-Mode,LVID;s,M-Mode,Depth,mm,1.302539,0.161585,1.188281,1.416797
2-a,SAX M-Mode,LVPW;d,M-Mode,Depth,mm,1.919531,0.387804,1.645312,2.19375
2-a,SAX M-Mode,LVPW;s,M-Mode,Depth,mm,2.833594,0.129268,2.925,2.742187
2-f,MV Flow,A',PW Tissue Doppler Mode,Velocity,mm/s,-25.401171,3.403201,-27.807597,-22.994744
2-f,MV Flow,E',PW Tissue Doppler Mode,Velocity,mm/s,-20.053556,3.403201,-22.459983,-17.647129
2-f,MV Flow,MV A,PW Doppler Mode,Velocity,mm/s,449.734413,11.344004,457.755836,441.712991
2-f,MV Flow,MV E,PW Doppler Mode,Velocity,mm/s,634.227127,22.688009,650.269972,618.184283
2-f,SAX M-Mode,LVAW;d,M-Mode,Depth,mm,1.074023,0.03231699,1.096875,1.051172
2-f,SAX M-Mode,LVAW;s,M-Mode,Depth,mm,1.713867,0.03231699,1.736719,1.691016
2-f,SAX M-Mode,LVID;d,M-Mode,Depth,mm,2.993555,0.09695097,2.925,3.062109
2-f,SAX M-Mode,LVID;s,M-Mode,Depth,mm,1.75957,0.03231699,1.782422,1.736719
2-f,SAX M-Mode,LVPW;d,M-Mode,Depth,mm,1.919531,0.06463398,1.873828,1.965234
2-f,SAX M-Mode,LVPW;s,M-Mode,Depth,mm,2.216602,0.09695097,2.285156,2.148047
2-0,MV Flow,A',PW Tissue Doppler Mode,Velocity,mm/s,-8.556184,0.0,-8.556184,
2-0,MV Flow,E',PW Tissue Doppler Mode,Velocity,mm/s,-8.556184,0.0,-8.556184,
2-0,MV Flow,MV A,PW Doppler Mode,Velocity,mm/s,358.82496,3.781335,356.151153,361.498767
2-0,MV Flow,MV E,PW Doppler Mode,Velocity,mm/s,570.055749,15.125339,559.360519,580.750978
2-0,SAX M-Mode,LVAW;d,M-Mode,Depth,mm,0.822656,0.06463398,0.868359,0.776953
2-0,SAX M-Mode,LVAW;s,M-Mode,Depth,mm,1.279688,0.06463398,1.233984,1.325391
2-0,SAX M-Mode,LVID;d,M-Mode,Depth,mm,3.199219,0.387804,2.925,3.473438
2-0,SAX M-Mode,LVID;s,M-Mode,Depth,mm,1.873828,0.193902,1.736719,2.010937
2-0,SAX M-Mode,LVPW;d,M-Mode,Depth,mm,1.531055,0.09695097,1.599609,1.4625
2-0,SAX M-Mode,LVPW;s,M-Mode,Depth,mm,2.102344,0.64634,2.559375,1.645312
3-a,MV Flow,A',PW Tissue Doppler Mode,Velocity,mm/s,-15.775464,0.378133,-15.508083,-16.042845
3-a,MV Flow,E',PW Tissue Doppler Mode,Velocity,mm/s,-14.43856,2.268801,-12.834276,-16.042845
3-a,MV Flow,MV A,PW Doppler Mode,Velocity,mm/s,209.608596,0.0,209.608596,209.608596
3-a,MV Flow,MV E,PW Doppler Mode,Velocity,mm/s,542.160695,0.0,542.160695,542.160695
3-a,SAX M-Mode,LVAW;d,M-Mode,Depth,mm,1.416797,0.129268,1.508203,1.325391
3-a,SAX M-Mode,LVAW;s,M-Mode,Depth,mm,1.75957,0.03231699,1.782422,1.736719
3-a,SAX M-Mode,LVID;d,M-Mode,Depth,mm,3.382031,0.06463398,3.336328,3.427734
3-a,SAX M-Mode,LVID;s,M-Mode,Depth,mm,2.239453,0.06463398,2.19375,2.285156
3-a,SAX M-Mode,LVPW;d,M-Mode,Depth,mm,1.02832,0.03231699,1.051172,1.005469
